N_IDE;Elev_pob;Estrato;qvar;All_E;se1;se2;se3;se4;se5;se6;se7;se8;se9;se10;se11;se12;SCALE;SCAWEI;CALWEI;G_WEIG
390.570.100.104;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;309,82;1,05
390.570.100.109;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;294,72;364,99;1,24
390.570.100.110;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;151,67;0,51
390.570.100.111;294,721727492;3;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;363,88;1,23
390.570.100.115;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;312,43;1,06
390.570.100.117;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;294,72;299,05;1,01
390.570.100.119;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;294,72;198,21;0,67
390.570.100.131;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;312,43;1,06
390.570.100.132;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;294,72;198,21;0,67
390.570.100.133;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;294,72;416,37;1,41
390.570.100.134;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;294,72;198,21;0,67
390.570.100.136;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;294,72;364,99;1,24
390.570.100.137;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;294,72;354,34;1,20
390.570.100.145;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;309,82;1,05
390.570.100.148;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;309,82;1,05
390.570.100.153;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;312,43;1,06
390.570.100.155;294,721727492;3;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;95,69;0,32
390.570.100.159;294,721727492;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;294,72;309,82;1,05
390.760.100.101;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;277,17;1,06
390.760.100.104;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;261,46;369,39;1,41
390.760.100.105;261,463408419;3;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;84,89;0,32
390.760.100.109;261,463408419;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;214,31;0,82
390.760.100.111;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;277,17;1,06
390.760.100.115;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;261,46;323,80;1,24
390.760.100.116;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;261,46;314,35;1,20
390.760.100.118;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;261,46;314,35;1,20
390.760.100.120;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;261,46;323,80;1,24
390.760.100.122;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;261,46;175,84;0,67
390.760.100.123;261,463408419;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;214,31;0,82
390.760.100.126;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;261,46;323,80;1,24
390.760.100.127;261,463408419;3;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;322,82;1,23
390.760.100.128;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;261,46;369,39;1,41
390.760.100.132;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;261,46;323,80;1,24
390.760.100.132;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;261,46;323,80;1,24
390.760.100.134;261,463408419;3;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;84,89;0,32
390.760.100.135;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;261,46;369,39;1,41
390.760.100.139;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;261,46;265,30;1,01
390.760.100.140;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;261,46;323,80;1,24
390.760.100.149;261,463408419;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;261,46;277,17;1,06
390.760.100.201;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;257,04;318,32;1,24
390.760.100.203;257,036999287;3;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;317,35;1,23
390.760.100.206;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;257,04;172,86;0,67
390.760.100.209;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;257,04;363,13;1,41
390.760.100.213;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;257,04;172,86;0,67
390.760.100.217;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;257,04;172,86;0,67
390.760.100.220;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;257,04;172,86;0,67
390.760.100.222;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;270,21;1,05
390.760.100.224;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;270,21;1,05
390.760.100.226;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;257,04;318,32;1,24
390.760.100.228;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;270,21;1,05
390.760.100.230;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;272,48;1,06
390.760.100.231;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;257,04;318,32;1,24
390.760.100.233;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;272,48;1,06
390.760.100.233;257,036999287;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;210,68;0,82
390.760.100.234;257,036999287;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;210,68;0,82
390.760.100.239;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;257,04;309,03;1,20
390.760.100.240;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;257,04;309,03;1,20
390.760.100.247;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;257,04;260,81;1,01
390.760.100.249;257,036999287;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;210,68;0,82
390.760.100.257;257,036999287;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;257,04;132,27;0,51
390.950.100.101;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;253,38;170,40;0,67
390.950.100.103;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;130,39;0,51
390.950.100.107;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;253,38;257,10;1,01
390.950.100.109;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;268,60;1,06
390.950.100.112;253,381395882;3;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;369,02;1,46
390.950.100.114;253,381395882;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;207,69;0,82
390.950.100.116;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;253,38;357,97;1,41
390.950.100.120;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;253,38;257,10;1,01
390.950.100.123;253,381395882;3;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;369,02;1,46
390.950.100.125;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;253,38;170,40;0,67
390.950.100.128;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;253,38;313,79;1,24
390.950.100.129;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;253,38;313,79;1,24
390.950.100.134;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;253,38;170,40;0,67
390.950.100.137;253,381395882;3;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;312,84;1,23
390.950.100.138;253,381395882;3;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;82,26;0,32
390.950.100.144;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;253,38;257,10;1,01
390.950.100.145;253,381395882;3;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,38;369,02;1,46
390.950.100.146;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;253,38;257,10;1,01
390.950.100.147;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;253,38;304,64;1,20
390.950.100.153;253,381395882;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;253,38;313,79;1,24
390.990.100.201;321,376583212;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;263,42;0,82
390.990.100.203;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;321,38;216,13;0,67
390.990.100.208;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;337,84;1,05
390.990.100.215;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;321,38;216,13;0,67
390.990.100.216;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;337,84;1,05
390.990.100.218;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;321,38;216,13;0,67
390.990.100.222;321,376583212;3;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;396,79;1,23
390.990.100.223;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;321,38;386,39;1,20
390.990.100.224;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;321,38;386,39;1,20
390.990.100.228;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;321,38;386,39;1,20
390.990.100.229;321,376583212;3;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;104,34;0,32
390.990.100.233;321,376583212;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;263,42;0,82
390.990.100.234;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;321,38;216,13;0,67
390.990.100.235;321,376583212;3;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;104,34;0,32
390.990.100.237;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;321,38;326,10;1,01
390.990.100.238;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;321,38;386,39;1,20
390.990.100.239;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;321,38;326,10;1,01
390.990.100.240;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;321,38;165,38;0,51
390.990.100.260;321,376583212;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;321,38;386,39;1,20
391.020.100.202;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;255,86;1,06
391.020.100.205;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;241,36;244,91;1,01
391.020.100.207;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;241,36;244,91;1,01
391.020.100.209;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;255,86;1,06
391.020.100.211;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;241,36;244,91;1,01
391.020.100.214;241,361405565;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;197,84;0,82
391.020.100.215;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;253,73;1,05
391.020.100.216;241,361405565;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;197,84;0,82
391.020.100.217;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;241,36;340,99;1,41
391.020.100.219;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;255,86;1,06
391.020.100.226;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;241,36;162,32;0,67
391.020.100.229;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;241,36;244,91;1,01
391.020.100.236;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;253,73;1,05
391.020.100.237;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;253,73;1,05
391.020.100.243;241,361405565;3;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;253,73;1,05
391.020.100.246;241,361405565;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;197,84;0,82
391.020.100.249;241,361405565;3;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;351,51;1,46
391.020.100.253;241,361405565;3;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;351,51;1,46
391.020.100.258;241,361405565;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;197,84;0,82
391.020.100.259;241,361405565;3;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;241,36;197,84;0,82
390.230.100.102;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;289,38;420,49;1,45
390.230.100.104;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;289,38;172,95;0,60
390.230.100.106;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;360,65;1,25
390.230.100.108;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;289,38;272,78;0,94
390.230.100.109;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;360,65;1,25
390.230.100.111;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;289,38;272,78;0,94
390.230.100.118;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;83,97;0,29
390.230.100.122;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;289,38;172,95;0,60
390.230.100.123;289,382697375;4;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;321,90;1,11
390.230.100.124;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;289,38;172,95;0,60
390.230.100.125;289,382697375;4;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;250,14;0,86
390.230.100.126;289,382697375;4;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;321,90;1,11
390.230.100.129;289,382697375;4;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;250,14;0,86
390.230.100.130;289,382697375;4;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;250,14;0,86
390.230.100.131;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;289,38;172,95;0,60
390.230.100.133;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;289,38;272,78;0,94
390.230.100.134;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;289,38;172,95;0,60
390.230.100.139;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;289,38;360,65;1,25
390.230.100.145;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;289,38;272,78;0,94
390.230.100.152;289,382697375;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;289,38;272,78;0,94
390.230.100.403;256,351029570;4;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;221,59;0,86
390.230.100.411;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;1,00;256,35;153,21;0,60
390.230.100.412;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;256,35;440,61;1,72
390.230.100.414;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;256,35;216,22;0,84
390.230.100.418;256,351029570;4;1;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;138,10;0,54
390.230.100.421;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;256,35;440,61;1,72
390.230.100.424;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;74,39;0,29
390.230.100.426;256,351029570;4;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;422,55;1,65
390.230.100.427;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;256,35;241,65;0,94
390.230.100.429;256,351029570;4;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;285,16;1,11
390.230.100.431;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;256,35;216,22;0,84
390.230.100.434;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;256,35;216,22;0,84
390.230.100.436;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;256,35;440,61;1,72
390.230.100.437;256,351029570;4;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;422,55;1,65
390.230.100.438;256,351029570;4;1;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;422,55;1,65
390.230.100.439;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;256,35;216,22;0,84
390.230.100.441;256,351029570;4;1;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;285,16;1,11
390.230.100.447;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;256,35;372,49;1,45
390.230.100.450;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;256,35;74,39;0,29
390.230.100.455;256,351029570;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;256,35;372,49;1,45
390.400.100.102;253,190104421;4;1;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;253,19;218,86;0,86
390.400.100.103;253,190104421;4;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;253,19;238,67;0,94
